date,ticker,roe,roa,pb,pe,debt_ratio,eps
2025-07-31,2330.TW,0.29,0.195,5.62,23.18,0.31,8.21
2025-07-31,2317.TW,0.14,0.075,1.82,14.58,0.48,2.61
2025-07-31,2454.TW,0.23,0.155,4.92,20.28,0.27,5.11
2025-07-31,2308.TW,0.18,0.105,2.42,16.88,0.35,3.41
2025-07-31,2881.TW,0.12,0.015,1.32,12.78,0.82,1.11
2025-07-31,2882.TW,0.11,0.015,1.22,11.88,0.84,0.91
2025-07-31,2891.TW,0.1,0.015,1.12,10.98,0.85,0.71
2025-07-31,1301.TW,0.13,0.085,1.72,15.18,0.44,2.41
2025-07-31,1303.TW,0.12,0.075,1.52,14.28,0.46,2.01
2025-07-31,2002.TW,0.09,0.055,1.12,13.48,0.5,1.31
2025-08-31,2330.TW,0.289,0.195,5.618,23.173,0.31,8.209
2025-08-31,2317.TW,0.139,0.075,1.818,14.573,0.48,2.609
2025-08-31,2454.TW,0.229,0.155,4.918,20.273,0.27,5.109
2025-08-31,2308.TW,0.179,0.105,2.418,16.873,0.35,3.409
2025-08-31,2881.TW,0.119,0.015,1.318,12.773,0.82,1.109
2025-08-31,2882.TW,0.109,0.015,1.218,11.873,0.84,0.909
2025-08-31,2891.TW,0.099,0.015,1.118,10.973,0.85,0.709
2025-08-31,1301.TW,0.129,0.085,1.718,15.173,0.44,2.409
2025-08-31,1303.TW,0.119,0.075,1.518,14.273,0.46,2.009
2025-08-31,2002.TW,0.089,0.055,1.118,13.473,0.5,1.309
2025-09-30,2330.TW,0.286,0.193,5.612,23.148,0.31,8.206
2025-09-30,2317.TW,0.136,0.073,1.812,14.548,0.48,2.606
2025-09-30,2454.TW,0.226,0.153,4.912,20.248,0.27,5.106
2025-09-30,2308.TW,0.176,0.103,2.412,16.848,0.35,3.406
2025-09-30,2881.TW,0.116,0.013,1.312,12.748,0.82,1.106
2025-09-30,2882.TW,0.106,0.013,1.212,11.848,0.84,0.906
2025-09-30,2891.TW,0.096,0.013,1.112,10.948,0.85,0.706
2025-09-30,1301.TW,0.126,0.083,1.712,15.148,0.44,2.406
2025-09-30,1303.TW,0.116,0.073,1.512,14.248,0.46,2.006
2025-09-30,2002.TW,0.086,0.053,1.112,13.448,0.5,1.306
2025-10-31,2330.TW,0.281,0.191,5.603,23.111,0.31,8.201
2025-10-31,2317.TW,0.131,0.071,1.803,14.511,0.48,2.601
2025-10-31,2454.TW,0.221,0.151,4.903,20.211,0.27,5.101
2025-10-31,2308.TW,0.171,0.101,2.403,16.811,0.35,3.401
2025-10-31,2881.TW,0.111,0.011,1.303,12.711,0.82,1.101
2025-10-31,2882.TW,0.101,0.011,1.203,11.811,0.84,0.901
2025-10-31,2891.TW,0.091,0.011,1.103,10.911,0.85,0.701
2025-10-31,1301.TW,0.121,0.081,1.703,15.111,0.44,2.401
2025-10-31,1303.TW,0.111,0.071,1.503,14.211,0.46,2.001
2025-10-31,2002.TW,0.081,0.051,1.103,13.411,0.5,1.301
2025-11-30,2330.TW,0.276,0.188,5.593,23.072,0.31,8.196
2025-11-30,2317.TW,0.126,0.068,1.793,14.472,0.48,2.596
2025-11-30,2454.TW,0.216,0.148,4.893,20.172,0.27,5.096
2025-11-30,2308.TW,0.166,0.098,2.393,16.772,0.35,3.396
2025-11-30,2881.TW,0.106,0.008,1.293,12.672,0.82,1.096
2025-11-30,2882.TW,0.096,0.008,1.193,11.772,0.84,0.896
2025-11-30,2891.TW,0.086,0.008,1.093,10.872,0.85,0.696
2025-11-30,1301.TW,0.116,0.078,1.693,15.072,0.44,2.396
2025-11-30,1303.TW,0.106,0.068,1.493,14.172,0.46,1.996
2025-11-30,2002.TW,0.076,0.048,1.093,13.372,0.5,1.296
2025-12-31,2330.TW,0.272,0.186,5.585,23.039,0.31,8.192
2025-12-31,2317.TW,0.122,0.066,1.785,14.439,0.48,2.592
2025-12-31,2454.TW,0.212,0.146,4.885,20.139,0.27,5.092
2025-12-31,2308.TW,0.162,0.096,2.385,16.739,0.35,3.392
2025-12-31,2881.TW,0.102,0.006,1.285,12.639,0.82,1.092
2025-12-31,2882.TW,0.092,0.006,1.185,11.739,0.84,0.892
2025-12-31,2891.TW,0.082,0.006,1.085,10.839,0.85,0.692
2025-12-31,1301.TW,0.112,0.076,1.685,15.039,0.44,2.392
2025-12-31,1303.TW,0.102,0.066,1.485,14.139,0.46,1.992
2025-12-31,2002.TW,0.072,0.046,1.085,13.339,0.5,1.292
2026-01-31,2330.TW,0.27,0.185,5.58,23.022,0.31,8.19
2026-01-31,2317.TW,0.12,0.065,1.78,14.422,0.48,2.59
2026-01-31,2454.TW,0.21,0.145,4.88,20.122,0.27,5.09
2026-01-31,2308.TW,0.16,0.095,2.38,16.722,0.35,3.39
2026-01-31,2881.TW,0.1,0.005,1.28,12.622,0.82,1.09
2026-01-31,2882.TW,0.09,0.005,1.18,11.722,0.84,0.89
2026-01-31,2891.TW,0.08,0.005,1.08,10.822,0.85,0.69
2026-01-31,1301.TW,0.11,0.075,1.68,15.022,0.44,2.39
2026-01-31,1303.TW,0.1,0.065,1.48,14.122,0.46,1.99
2026-01-31,2002.TW,0.07,0.045,1.08,13.322,0.5,1.29
2026-02-28,2330.TW,0.27,0.185,5.581,23.023,0.31,8.19
2026-02-28,2317.TW,0.12,0.065,1.781,14.423,0.48,2.59
2026-02-28,2454.TW,0.21,0.145,4.881,20.123,0.27,5.09
2026-02-28,2308.TW,0.16,0.095,2.381,16.723,0.35,3.39
2026-02-28,2881.TW,0.1,0.005,1.281,12.623,0.82,1.09
2026-02-28,2882.TW,0.09,0.005,1.181,11.723,0.84,0.89
2026-02-28,2891.TW,0.08,0.005,1.081,10.823,0.85,0.69
2026-02-28,1301.TW,0.11,0.075,1.681,15.023,0.44,2.39
2026-02-28,1303.TW,0.1,0.065,1.481,14.123,0.46,1.99
2026-02-28,2002.TW,0.07,0.045,1.081,13.323,0.5,1.29
2026-03-31,2330.TW,0.273,0.186,5.586,23.044,0.31,8.193
2026-03-31,2317.TW,0.123,0.066,1.786,14.444,0.48,2.593
2026-03-31,2454.TW,0.213,0.146,4.886,20.144,0.27,5.093
2026-03-31,2308.TW,0.163,0.096,2.386,16.744,0.35,3.393
2026-03-31,2881.TW,0.103,0.006,1.286,12.644,0.82,1.093
2026-03-31,2882.TW,0.093,0.006,1.186,11.744,0.84,0.893
2026-03-31,2891.TW,0.083,0.006,1.086,10.844,0.85,0.693
2026-03-31,1301.TW,0.113,0.076,1.686,15.044,0.44,2.393
2026-03-31,1303.TW,0.103,0.066,1.486,14.144,0.46,1.993
2026-03-31,2002.TW,0.073,0.046,1.086,13.344,0.5,1.293
